BLCA	BRCA	CESC	COAD	CSCC	GBM	GIAD	HNSC	KIRC	LUAD	LUSC	MCC	MESO	OV	PAAD	PRAD	READ	SARC	SCLC	SKCM	STAD	UCEC	UCS	Other
CCND1	2	0	0	0	0	0	1	6	0	1	4	0	0	0	0	0	0	1	0	2	1	0	0	0
CCND2	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1
CCND3	2	0	0	2	0	0	0	1	0	1	0	0	0	0	1	1	0	2	0	0	1	0	0	1
CDK4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
CDK6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0
ERBB2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1
FGFR1	0	12	0	0	0	0	0	5	0	0	5	0	0	0	1	0	0	2	0	1	0	0	0	0
FGFR3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
FGFR4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MET	2	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
PIK3CA	0	2	0	0	0	0	0	5	0	0	5	0	0	0	1	0	0	1	0	0	0	0	0	0
