BLCA	BRCA	CESC	COAD	CSCC	GBM	GIAD	HNSC	KIRC	LUAD	LUSC	MCC	MESO	OV	PAAD	PRAD	READ	SARC	SCLC	SKCM	STAD	UCEC	UCS	Other
AKT1	1	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AKT3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
BRAF	2	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	5	0	0	0	0
BRCA1	0	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	2
BRCA2	2	0	0	5	0	0	0	2	0	0	0	0	0	1	1	0	0	2	1	2	1	0	2	1
DDR2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGFR	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0
ERBB2	1	2	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	1
FGFR1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
FGFR2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FGFR3	4	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FGFR4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1
GNA11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNAQ	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
KIT	0	1	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
MTOR	0	0	0	5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
NF1	2	0	0	5	2	0	1	0	0	0	2	0	0	0	1	0	0	0	0	6	0	0	0	2
NF2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NRAS	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
PIK3CA	5	14	1	18	0	0	2	4	2	2	5	0	0	0	0	0	2	0	0	2	1	0	0	3
PTCH1	0	3	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0
PTEN	3	5	0	5	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	6	0	1	1	1
SMO	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TSC1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TSC2	0	0	0	3	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1
